City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
496,mandera,3.9366,41.867,22.97,54,1,2.21,KE,1674963147
497,troitsko-pechorsk,62.7084,56.1964,-7.86,87,100,4.51,RU,1674963147
498,petropavlovsk-kamchatskiy,53.0452,158.6483,-2.67,54,75,10.0,RU,1674963089
499,san carlos de bariloche,-41.1456,-71.3082,14.58,58,0,2.57,AR,1674963148
500,luau,-10.7073,22.2247,17.92,95,100,0.73,AO,1674963148
501,dalvik,65.9702,-18.5286,3.96,84,57,4.27,IS,1674963148
502,horbranz,47.55,9.75,0.42,91,100,2.06,AT,1674963149
503,atherton,53.5237,-2.4935,6.33,96,100,0.89,GB,1674963149
504,bangalore,12.9762,77.6033,18.8,77,60,3.09,IN,1674962894
505,husavik,66.0449,-17.3389,-0.28,87,57,3.8,IS,1674963150
506,gigmoto,13.7796,124.39,25.0,85,90,8.33,PH,1674963150
507,tamboril,19.4854,-70.611,19.83,93,52,2.35,DO,1674963150
508,curuca,-0.7289,-47.8481,22.99,95,99,1.19,BR,1674963151
509,kosa,59.9445,54.9977,-13.21,92,93,3.62,RU,1674963151
510,sigli,5.3848,95.9609,27.26,80,99,4.75,ID,1674963151
511,mangai,-4.05,19.5333,20.35,99,96,0.71,CD,1674963152
512,ngunguru,-35.6167,174.5,22.24,85,69,4.96,NZ,1674963152
513,alpena,45.0617,-83.4327,-6.61,75,40,2.57,US,1674963153
514,qui nhon,13.7667,109.2333,21.44,76,100,10.98,VN,1674963153
515,verkhnevilyuysk,63.4453,120.3167,-40.71,96,75,0.6,RU,1674963153
516,praya,14.9215,-23.5087,20.3,83,20,7.72,CV,1674963155
517,whitehorse,60.7161,-135.0538,-9.57,73,100,4.63,CA,1674962894
518,mount gambier,-37.8333,140.7667,21.48,51,65,3.97,AU,1674963114
519,wakkanai,45.4094,141.6739,-6.01,63,75,10.29,JP,1674963155
520,kombissiri,12.0656,-1.3375,19.6,12,66,4.06,BF,1674963155
521,barcelona,41.3888,2.159,6.41,68,75,2.57,ES,1674963005
522,mandalgovi,45.7625,106.2708,-8.23,48,0,3.25,MN,1674963156
523,bulungu,-4.55,18.6,20.52,98,99,0.4,CD,1674963156
524,vestmanna,62.1564,-7.1664,8.51,93,100,8.75,FO,1674963157
525,wonthaggi,-38.6044,145.5913,18.23,89,100,2.54,AU,1674963157
526,palmer,42.1584,-72.3287,4.4,77,100,0.0,US,1674963157
527,hokitika,-42.7167,170.9667,21.95,55,38,2.42,NZ,1674963158
528,lazaro cardenas,17.9583,-102.2,22.91,67,13,2.19,MX,1674963031
529,port blair,11.6667,92.75,29.02,70,40,5.14,IN,1674963158
530,chamba,32.5667,76.1333,15.17,52,100,1.45,IN,1674963158
531,taoudenni,22.6783,-3.9836,13.37,24,35,3.15,ML,1674963159
532,deogarh,21.5333,84.7333,25.13,45,2,2.21,IN,1674963159
533,padang,-0.9492,100.3543,28.03,68,100,2.23,ID,1674963160
534,abha,18.2164,42.5053,7.14,71,0,0.0,SA,1674963160
535,zharkent,44.1628,80.0,-9.39,81,100,1.42,KZ,1674963160
536,anchorage,61.2181,-149.9003,-0.92,87,40,0.0,US,1674963007
537,soledade,-28.8183,-52.5103,20.71,79,93,2.31,BR,1674963110
538,otradnoye,59.7775,30.8181,-1.97,87,100,4.92,RU,1674963161
539,finschhafen,-6.6024,147.8681,30.18,65,92,2.88,PG,1674963161
540,grindavik,63.8424,-22.4338,2.26,80,75,11.32,IS,1674963162
541,mbanza-ngungu,-5.25,14.8667,19.56,98,100,1.5,CD,1674963162
542,ferrol,43.4832,-8.2369,8.15,77,18,6.62,ES,1674963162
543,sao lourenco do sul,-31.3653,-51.9783,22.59,89,77,0.9,BR,1674963101
544,druzhba,52.0428,33.9453,-5.36,80,33,2.23,UA,1674963163
545,russkaya polyana,49.417,31.9201,-4.08,75,54,3.34,UA,1674963163
546,jieshi,22.8134,115.8257,12.87,30,4,2.09,CN,1674963163
547,thinadhoo,0.5333,72.9333,27.46,75,20,5.07,MV,1674963164
548,kletskaya,49.3145,43.0584,-5.85,91,97,3.68,RU,1674963164
549,zinder,13.8072,8.9881,21.59,15,100,4.06,NE,1674963165
550,kolpashevo,58.3131,82.9089,-8.49,95,100,3.93,RU,1674963165
551,camapua,-19.5314,-54.0439,21.8,93,34,1.21,BR,1674963166
552,matara,5.9485,80.5353,27.02,67,89,0.7,LK,1674963166
553,lavumisa,-27.31,31.892,23.5,70,85,4.52,SZ,1674963166
554,karratha,-20.7377,116.8463,34.72,33,4,3.38,AU,1674963086
555,kenai,60.5544,-151.2583,-1.06,82,75,1.54,US,1674963167
556,clarksburg,39.2807,-80.3445,6.25,74,0,0.0,US,1674963027
557,san quintin,30.4833,-115.95,12.54,80,0,0.6,MX,1674963060
558,akranes,64.3218,-22.0749,2.31,77,100,9.17,IS,1674963168
559,chara,56.9064,118.2631,-17.52,81,99,0.95,RU,1674963168
560,gamba,-2.65,10.0,23.09,81,47,0.97,GA,1674963168
561,saint-francois,46.4154,3.9054,1.69,75,100,3.6,FR,1674963169
562,hofn,64.2539,-15.2082,2.18,65,31,2.95,IS,1674963169
563,alofi,-19.0595,-169.9187,28.94,74,99,3.09,NU,1674963170
564,baghdad,33.3406,44.4009,10.95,66,100,8.23,IQ,1674962981
565,kjollefjord,70.9457,27.3465,-0.97,80,100,5.66,NO,1674963170
566,mokhsogollokh,61.4681,128.9203,-39.11,95,99,0.18,RU,1674963170
567,hobyo,5.3505,48.5268,24.9,68,73,9.5,SO,1674963171
568,bobo dioulasso,11.1771,-4.2979,21.25,28,0,5.14,BF,1674963171
569,shimoda,34.6667,138.95,8.2,55,68,6.16,JP,1674963172
570,kalmunai,7.4167,81.8167,24.54,81,96,4.91,LK,1674963172
571,marzuq,14.4,46.4667,13.47,76,4,1.24,YE,1674963172
572,batemans bay,-35.7167,150.1833,23.94,57,100,1.92,AU,1674963010
573,general roca,-39.0333,-67.5833,29.79,23,0,8.97,AR,1674963173
574,hrodna,53.6884,23.8258,-3.08,79,100,4.0,BY,1674963173
575,eatonton,33.3268,-83.3885,5.69,66,77,1.86,US,1674963174
576,ellisras,-23.6649,27.7443,22.03,39,37,1.79,ZA,1674963174
577,ouadda,8.0777,22.4007,19.08,24,11,1.56,CF,1674963175
578,lebanon,36.2081,-86.2911,12.12,54,100,3.6,US,1674963175
579,pierre,44.3683,-100.351,-15.08,75,100,3.09,US,1674963008
